config,N,M,eer_mean,eer_std
A1_softmax,5,10,0.02727272727272726,0.004285495643554832
A1_softmax,10,1,0.06151515151515149,0.005386784495342782
A1_softmax,10,3,0.019393939393939387,0.01139490647088676
A1_softmax,10,5,0.04303030303030301,0.020205555246266237
A1_softmax,10,10,0.02666666666666665,0.0045555443570827
A1_arcface,1,1,0.028484848484848474,0.020223725713289186
A1_arcface,1,3,0.005757575757575755,0.010068634985355237
A1_arcface,1,5,0.01818181818181817,0.01524215313934459
A1_arcface,1,10,0.007272727272727271,0.013800360650588723
A1_arcface,3,1,0.0206060606060606,0.023775812419312755
A1_arcface,3,3,0.0018181818181818182,0.001766955119650091
A1_arcface,3,5,0.012121212121212116,0.012567540214138008
A1_arcface,3,10,0.0018181818181818182,0.0022268088570756165
A1_arcface,5,1,0.022424242424242413,0.020805628962147715
A1_arcface,5,3,0.0018181818181818182,0.0024242424242424242
A1_arcface,5,5,0.014545454545454539,0.01191491106141666
A1_arcface,5,10,0.0009090909090909091,0.0018181818181818182
A1_arcface,10,1,0.025151515151515137,0.018095755911313464
A1_arcface,10,3,0.005151515151515148,0.008865902326259263
A1_arcface,10,5,0.014545454545454539,0.01191491106141666
A1_arcface,10,10,0.0012121212121212121,0.001766955119650091
A2_softmax,1,1,0.006666666666666664,0.008221006040151834
A2_softmax,1,3,0.0018181818181818182,0.0024242424242424242
A2_softmax,1,5,0.0006060606060606061,0.0012121212121212121
A2_softmax,1,10,0.0,0.0
A2_softmax,3,1,0.002727272727272727,0.001133835571749679
A2_softmax,3,3,0.0006060606060606061,0.0012121212121212121
A2_softmax,3,5,0.0006060606060606061,0.0012121212121212121
A2_softmax,3,10,0.00030303030303030303,0.0006060606060606061
A2_softmax,5,1,0.002121212121212121,0.00154515742836145
A2_softmax,5,3,0.0009090909090909091,0.0018181818181818182
A2_softmax,5,5,0.0006060606060606061,0.0012121212121212121
A2_softmax,5,10,0.00030303030303030303,0.0006060606060606061
A2_softmax,10,1,0.002121212121212121,0.00154515742836145
A2_softmax,10,3,0.0009090909090909091,0.0018181818181818182
A2_softmax,10,5,0.0006060606060606061,0.0012121212121212121
A2_softmax,10,10,0.00030303030303030303,0.0006060606060606061
A2_arcface,1,1,0.0,0.0
A2_arcface,1,3,0.0,0.0
A2_arcface,1,5,0.0,0.0
A2_arcface,1,10,0.0,0.0
A2_arcface,3,1,0.0,0.0
A2_arcface,3,3,0.0,0.0
A2_arcface,3,5,0.0,0.0
A2_arcface,3,10,0.0,0.0
A2_arcface,5,1,0.0,0.0
A2_arcface,5,3,0.0,0.0
A2_arcface,5,5,0.0,0.0
A2_arcface,5,10,0.0,0.0
A2_arcface,10,1,0.0,0.0
A2_arcface,10,3,0.0,0.0
